body_type,price,vat,make1,model1,short_description1_displ,km1,age1,hp1,Type1,Body_Color1,Upholstery1,Nr_of_Doors1,Nr_of_Seats1,Gearing_Type1,Displacement1,Cylinders1,Weight1,Drive_chain1,Fuel1,Consump_comb1,Consump_city1,Consump_country1,CO2_Emission1,Comfort_point1,Entertainment_point1,Extras_point1,Safety_point1,Gears1
Sedans,15600,,Audi,A1,1.0,17400.0,1.5013698630136987,70.0,Used,Blue,Cloth,5.0,5.0,Manual,1.0,3.0,1135.0,front,Gasoline,4.3,4.3,4.3,98.0,13.0,3.0,3.0,14.0,5.0
Compact,15590,,Audi,A1,,10007.0,2.249315068493151,70.0,Used,Silver,Cloth,2.0,4.0,Manual,1.0,,,,Gasoline,4.4,4.4,4.4,10.0,16.0,6.0,2.0,14.0,
Compact,15599,VAT deductible,Audi,A1,1.0,5334.0,2.1671232876712327,70.0,Used,Silver,Cloth,4.0,5.0,Manual,1.0,,,front,Gasoline,4.2,4.2,4.2,97.0,14.0,5.0,4.0,11.0,
Compact,15585,VAT deductible,Audi,A1,1.4,15560.0,2.334246575342466,66.0,Used,Black,Cloth,5.0,4.0,Manual,1.6,3.0,1205.0,,Diesel,3.7,3.7,3.7,97.0,14.0,6.0,2.0,13.0,5.0
Sedans,15555,VAT deductible,Audi,A1,1.0,4900.0,2.0821917808219177,60.0,Used,Red,Cloth,4.0,5.0,Manual,1.0,,,,Gasoline,4.2,4.2,4.2,97.0,13.0,6.0,2.0,14.0,
Compact,15580,VAT deductible,Audi,A1,1.4,7528.0,2.5013698630136987,66.0,Used,Red,Cloth,3.0,4.0,Manual,1.4,,1165.0,,Diesel,4.1,4.1,4.1,109.0,17.0,5.0,2.0,10.0,
Sedans,15580,,Audi,A1,1.0,2450.0,2.7534246575342465,70.0,Used,White,Cloth,2.0,4.0,Manual,1.0,,,front,Gasoline,4.2,4.2,4.2,97.0,14.0,5.0,3.0,13.0,
Sedans,15550,,Audi,A1,1.0,200.0,2.0821917808219177,70.0,Used,Black,,4.0,5.0,Manual,1.0,,1097.0,front,Gasoline,4.2,,,,5.0,2.0,1.0,9.0,
Compact,15550,VAT deductible,Audi,A1,1.0,8001.0,0.8301369863013699,70.0,Demonstration,Black,Cloth,3.0,4.0,Manual,1.0,3.0,1134.0,front,Gasoline,4.2,4.2,4.2,97.0,11.0,3.0,2.0,13.0,5.0
Compact,15740,VAT deductible,Audi,A1,1.4,27338.0,1.4191780821917808,66.0,Employee's car,Blue,Cloth,5.0,4.0,Manual,1.4,,1195.0,,Diesel,4.1,4.1,4.1,109.0,17.0,6.0,3.0,12.0,
Compact,15740,VAT deductible,Audi,A1,1.4,26354.0,1.4191780821917808,66.0,Employee's car,Black,Cloth,5.0,4.0,Manual,1.4,,1195.0,,Diesel,4.1,4.1,4.1,109.0,17.0,6.0,3.0,12.0,
Compact,15850,,Audi,A1,1.4,17768.0,2.83013698630137,92.0,Used,White,Cloth,2.0,4.0,Manual,1.4,,,,Gasoline,5.1,5.1,5.1,120.0,15.0,6.0,3.0,12.0,
Sedans,15700,VAT deductible,Audi,A1,1.0,8700.0,1.83013698630137,60.0,Demonstration,White,Cloth,3.0,4.0,Manual,1.0,3.0,1110.0,front,Gasoline,4.2,4.2,4.2,97.0,13.0,5.0,3.0,12.0,5.0
Sedans,15700,VAT deductible,Audi,A1,1.0,8200.0,2.1671232876712327,70.0,Used,Red,,5.0,5.0,Manual,1.0,3.0,1135.0,,Gasoline,4.3,4.3,4.3,98.0,11.0,3.0,4.0,16.0,5.0
Compact,15700,VAT deductible,Audi,A1,1.0,15599.0,1.7534246575342465,70.0,Used,Black,Cloth,4.0,5.0,Manual,1.0,3.0,,front,Gasoline,4.2,4.2,4.2,97.0,9.0,4.0,,11.0,5.0
Compact,15550,VAT deductible,Audi,A1,,22390.0,1.7534246575342465,60.0,Used,White,Cloth,5.0,,Manual,1.0,,,front,Gasoline,,,,,9.0,4.0,2.0,3.0,5.0
Compact,15850,,Audi,A1,1.4,17768.0,2.83013698630137,92.0,Used,White,Cloth,2.0,4.0,Manual,1.4,,,,Gasoline,5.1,5.1,5.1,120.0,15.0,6.0,3.0,12.0,
Sedans,15850,VAT deductible,Audi,A1,1.0,24.0,1.5013698630136987,60.0,Used,White,Cloth,5.0,5.0,Manual,1.0,,1135.0,,Gasoline,4.2,4.2,4.2,97.0,6.0,2.0,1.0,11.0,5.0
Compact,15850,,Audi,A1,1.4,17768.0,2.83013698630137,92.0,Used,White,Cloth,2.0,4.0,Manual,1.4,,,,Gasoline,5.1,5.1,5.1,120.0,15.0,6.0,3.0,12.0,
Sedans,15850,,Audi,A1,1.0,52030.0,2.915068493150685,70.0,Used,White,Cloth,5.0,4.0,Manual,1.0,3.0,1135.0,front,Gasoline,4.2,4.2,4.2,97.0,15.0,6.0,2.0,12.0,5.0
Compact,15850,,Audi,A1,1.4,17768.0,2.83013698630137,92.0,Used,White,Cloth,2.0,4.0,Manual,1.4,,,,Gasoline,5.1,5.1,5.1,120.0,15.0,6.0,3.0,12.0,
Compact,15850,,Audi,A1,1.4,17768.0,2.83013698630137,92.0,Used,White,Cloth,2.0,4.0,Manual,1.4,,,,Gasoline,5.1,5.1,5.1,120.0,15.0,6.0,3.0,12.0,
Station wagon,15850,VAT deductible,Audi,A1,1.4,22336.0,1.4191780821917808,66.0,Used,Black,Cloth,5.0,5.0,Manual,1.4,3.0,1165.0,front,Diesel,3.9,3.9,3.9,10.0,17.0,7.0,2.0,13.0,5.0
Station wagon,15850,VAT deductible,Audi,A1,1.4,19899.0,1.4191780821917808,66.0,Used,Black,Cloth,5.0,5.0,Manual,1.4,3.0,1205.0,front,Diesel,3.9,3.9,3.9,10.0,17.0,6.0,2.0,13.0,5.0
Compact,15844,VAT deductible,Audi,A1,1.0,13521.0,2.0821917808219177,70.0,Used,Grey,Cloth,5.0,5.0,Manual,1.0,,,front,Gasoline,4.4,4.4,4.4,104.0,15.0,6.0,2.0,14.0,5.0
Compact,15840,VAT deductible,Audi,A1,1.4,18481.0,1.915068493150685,66.0,Used,Red,Cloth,5.0,4.0,Manual,1.4,,1195.0,,Diesel,4.1,4.1,4.1,109.0,17.0,6.0,3.0,12.0,
Sedans,15838,VAT deductible,Audi,A1,1.0,4623.0,1.7534246575342465,60.0,Employee's car,Red,Cloth,4.0,5.0,Manual,1.0,3.0,,front,Gasoline,4.2,4.2,4.2,97.0,17.0,7.0,4.0,13.0,
Compact,15840,VAT deductible,Audi,A1,1.0,9900.0,1.5863013698630137,70.0,Demonstration,Blue,Cloth,5.0,4.0,Manual,1.0,3.0,1135.0,front,Gasoline,4.4,4.4,4.4,10.0,10.0,6.0,3.0,10.0,5.0
Sedans,15834,VAT deductible,Audi,A1,1.4,26991.0,1.4191780821917808,66.0,Used,Black,Cloth,4.0,5.0,Manual,1.4,3.0,,front,Diesel,3.9,3.9,3.9,10.0,17.0,8.0,4.0,14.0,
Sedans,15834,VAT deductible,Audi,A1,1.4,26289.0,1.4191780821917808,66.0,Used,Blue,Cloth,4.0,5.0,Manual,1.4,3.0,,front,Diesel,3.9,3.9,3.9,10.0,17.0,8.0,4.0,14.0,
Compact,15700,VAT deductible,Audi,A1,1.0,15599.0,1.7534246575342465,70.0,Used,White,Cloth,4.0,5.0,Manual,1.0,3.0,,front,Gasoline,4.2,4.2,4.2,97.0,9.0,4.0,,11.0,5.0
Sedans,15834,VAT deductible,Audi,A1,1.4,23858.0,1.5863013698630137,66.0,Used,Black,Cloth,4.0,5.0,Manual,1.4,3.0,,front,Diesel,3.9,3.9,3.9,10.0,17.0,8.0,4.0,14.0,
Sedans,15834,VAT deductible,Audi,A1,1.4,20590.0,1.5013698630136987,66.0,Used,Red,Cloth,4.0,5.0,Manual,1.4,3.0,,front,Diesel,3.9,3.9,3.9,10.0,17.0,8.0,4.0,14.0,
Sedans,15834,VAT deductible,Audi,A1,1.4,22225.0,1.5013698630136987,66.0,Used,Black,Cloth,4.0,5.0,Manual,1.4,3.0,,front,Diesel,3.9,3.9,3.9,10.0,17.0,8.0,4.0,14.0,
Compact,15290,,Audi,A1,1.0,27930.0,2.6684931506849314,70.0,Used,White,,5.0,5.0,Manual,1.0,3.0,1135.0,front,Gasoline,4.3,4.3,4.3,98.0,6.0,2.0,2.0,13.0,5.0
Sedans,15834,VAT deductible,Audi,A1,1.4,20436.0,1.4191780821917808,66.0,Used,Grey,Cloth,4.0,5.0,Manual,1.4,3.0,,front,Diesel,3.9,3.9,3.9,10.0,17.0,8.0,4.0,14.0,
Compact,15290,,Audi,A1,1.0,26905.0,2.7534246575342465,70.0,Used,Black,,5.0,5.0,Manual,1.0,3.0,1135.0,front,Gasoline,4.3,4.3,4.3,98.0,6.0,2.0,2.0,13.0,5.0
Compact,15290,,Audi,A1,1.4,15500.0,2.5863013698630137,66.0,Used,Blue,,5.0,5.0,Manual,1.4,3.0,1195.0,front,Diesel,3.7,3.7,3.7,98.0,5.0,3.0,1.0,12.0,5.0
Compact,15290,VAT deductible,Audi,A1,1.0,9900.0,2.0,70.0,Used,Black,Cloth,,5.0,Manual,1.0,,,,Gasoline,,,,,7.0,2.0,1.0,10.0,5.0
Sedans,15280,,Audi,A1,1.0,16222.0,2.0,70.0,Used,Black,,4.0,5.0,Manual,1.0,,1125.0,front,Gasoline,4.2,,,,7.0,1.0,1.0,10.0,
Sedans,15250,VAT deductible,Audi,A1,1.0,37568.0,2.915068493150685,70.0,Used,Grey,Cloth,5.0,4.0,Manual,1.0,3.0,1135.0,front,Gasoline,4.2,4.2,4.2,97.0,9.0,6.0,,11.0,5.0
Compact,15249,,Audi,A1,1.0,12642.0,2.5863013698630137,70.0,Used,Silver,Cloth,3.0,4.0,Manual,1.0,3.0,1110.0,,Gasoline,,,,,2.0,2.0,,5.0,5.0
Sedans,15199,Price negotiable,Audi,A1,1.0,17500.0,1.915068493150685,60.0,Used,Blue,,5.0,4.0,Manual,1.0,3.0,1135.0,,Gasoline,4.2,4.2,4.2,97.0,15.0,4.0,5.0,13.0,5.0
Sedans,15200,VAT deductible,Audi,A1,1.6,23510.0,2.7534246575342465,85.0,Used,White,,3.0,4.0,Manual,1.6,4.0,1225.0,,Diesel,3.7,3.7,3.7,97.0,,,,,5.0
Compact,15180,,Audi,A1,,16357.0,2.5013698630136987,66.0,Used,Blue,Cloth,2.0,4.0,Manual,1.4,,,,Diesel,3.8,3.8,3.8,99.0,10.0,1.0,3.0,12.0,
Compact,15100,,Audi,A1,1.0,21745.0,1.5013698630136987,70.0,Employee's car,,,3.0,4.0,Manual,1.0,3.0,1485.0,,Gasoline,4.3,,,98.0,2.0,2.0,1.0,7.0,5.0
Sedans,15000,,Audi,A1,1.0,55000.0,2.915068493150685,70.0,Used,Black,,5.0,4.0,Manual,1.0,3.0,1135.0,,Gasoline,4.2,4.2,4.2,97.0,6.0,4.0,2.0,10.0,5.0
Sedans,15000,,Audi,A1,1.4,80000.0,2.5013698630136987,66.0,Used,Silver,,5.0,4.0,Manual,1.4,3.0,1205.0,,Diesel,3.7,3.7,3.7,97.0,12.0,7.0,2.0,11.0,5.0
Sedans,15000,Price negotiable,Audi,A1,1.0,17000.0,2.1671232876712327,70.0,Used,Grey,,5.0,4.0,Manual,1.0,3.0,1135.0,,Gasoline,4.2,4.2,4.2,97.0,6.0,4.0,3.0,11.0,5.0
Compact,15000,VAT deductible,Audi,A1,1.0,24000.0,2.249315068493151,70.0,Used,White,,3.0,4.0,Manual,1.0,3.0,1485.0,,Gasoline,4.3,4.3,4.3,98.0,5.0,1.0,1.0,10.0,5.0
Compact,15450,VAT deductible,Audi,A1,1.0,13300.0,2.249315068493151,70.0,Used,Silver,Cloth,4.0,4.0,Manual,1.0,,,,Gasoline,4.4,4.4,4.4,10.0,16.0,8.0,3.0,12.0,
Sedans,15450,VAT deductible,Audi,A1,1.4,26495.0,1.5013698630136987,66.0,Used,Red,Cloth,5.0,5.0,Manual,1.4,,1195.0,front,Diesel,3.9,3.9,3.9,10.0,17.0,8.0,4.0,14.0,
Sedans,15450,,Audi,A1,1.0,14518.0,2.0821917808219177,70.0,Used,Black,,2.0,4.0,Manual,1.0,,1035.0,front,Gasoline,4.2,,,,8.0,3.0,1.0,5.0,
Sedans,15450,VAT deductible,Audi,A1,1.0,26650.0,1.5863013698630137,70.0,Used,Black,Cloth,2.0,4.0,Manual,1.0,,,front,Gasoline,4.2,4.2,4.2,97.0,14.0,8.0,2.0,13.0,
Compact,15444,VAT deductible,Audi,A1,1.0,3300.0,1.3342465753424657,70.0,Employee's car,Black,Cloth,4.0,4.0,Manual,1.0,,1135.0,front,Gasoline,4.2,4.2,4.2,97.0,10.0,7.0,3.0,13.0,
Compact,15444,VAT deductible,Audi,A1,1.0,4300.0,1.3342465753424657,70.0,Employee's car,Black,Cloth,4.0,4.0,Manual,1.0,,1135.0,front,Gasoline,4.2,4.2,4.2,97.0,10.0,7.0,3.0,13.0,
Sedans,15400,,Audi,A1,1.0,17873.0,2.6684931506849314,70.0,Used,Black,,,,Manual,1.0,3.0,1135.0,front,Gasoline,4.2,4.2,4.2,97.0,13.0,7.0,3.0,9.0,5.0
Compact,15440,VAT deductible,Audi,A1,1.0,6240.0,1.5013698630136987,60.0,Used,Black,Cloth,2.0,4.0,Manual,1.0,3.0,1110.0,front,Gasoline,4.4,4.4,4.4,104.0,9.0,7.0,1.0,12.0,5.0
Compact,15400,VAT deductible,Audi,A1,1.0,1478.0,2.0821917808219177,60.0,Used,Red,Cloth,3.0,4.0,Manual,1.0,3.0,1110.0,front,Gasoline,4.2,4.2,4.2,97.0,12.0,6.0,4.0,13.0,5.0
Sedans,15400,Price negotiable,Audi,A1,1.4,15900.0,2.249315068493151,92.0,Used,White,,5.0,4.0,Manual,1.4,4.0,1180.0,,Gasoline,5.1,5.1,5.1,118.0,1.0,3.0,1.0,4.0,6.0
Sedans,15400,,Audi,A1,,17000.0,1.5013698630136987,60.0,Used,White,Cloth,4.0,,Manual,1.0,3.0,,front,Gasoline,4.2,4.2,4.2,97.0,13.0,5.0,2.0,12.0,5.0
Compact,15390,VAT deductible,Audi,A1,1.0,5900.0,1.082191780821918,60.0,Used,Black,Cloth,2.0,4.0,Manual,1.0,3.0,1110.0,front,Gasoline,4.4,4.4,4.4,104.0,4.0,1.0,,7.0,5.0
Sedans,15350,,Audi,A1,1.0,18330.0,1.7534246575342465,60.0,Used,Black,Cloth,5.0,4.0,Manual,1.0,3.0,1135.0,front,Gasoline,4.2,4.2,4.2,97.0,4.0,4.0,,10.0,5.0
Compact,15000,VAT deductible,Audi,A1,1.0,24000.0,2.249315068493151,70.0,Used,White,,3.0,4.0,Manual,1.0,3.0,1485.0,,Gasoline,4.3,4.3,4.3,98.0,5.0,1.0,1.0,10.0,5.0
Sedans,14999,VAT deductible,Audi,A1,1.4,13790.0,2.5863013698630137,66.0,Used,Black,Cloth,5.0,4.0,Manual,1.4,3.0,,front,Diesel,3.4,3.4,3.4,90.0,13.0,5.0,2.0,12.0,5.0
Sedans,14999,VAT deductible,Audi,A1,1.4,16644.0,2.249315068493151,66.0,Used,Black,Cloth,5.0,4.0,Manual,1.4,3.0,,front,Diesel,3.7,3.7,3.7,97.0,12.0,5.0,,12.0,5.0
Sedans,14999,,Audi,A1,,12500.0,1.5863013698630137,60.0,Used,Black,Cloth,5.0,4.0,Manual,1.0,3.0,1135.0,front,Gasoline,4.4,4.4,4.4,10.0,15.0,3.0,2.0,17.0,5.0
Sedans,14999,VAT deductible,Audi,A1,1.0,43881.0,2.7534246575342465,70.0,Used,Silver,,5.0,5.0,Manual,1.0,3.0,1625.0,,Gasoline,,,,,9.0,3.0,1.0,6.0,5.0
Sedans,14990,VAT deductible,Audi,A1,1.0,8900.0,2.0821917808219177,70.0,Used,Black,Cloth,3.0,,Manual,1.0,,,front,Gasoline,4.2,4.2,4.2,97.0,5.0,,2.0,13.0,5.0
Sedans,14990,VAT deductible,Audi,A1,1.4,19335.0,2.5013698630136987,66.0,Used,Black,Cloth,5.0,5.0,Manual,1.4,3.0,,front,Diesel,3.7,3.7,3.7,97.0,9.0,3.0,,,5.0
Sedans,14990,,Audi,A1,1.0,23500.0,2.0,70.0,Used,Black,,4.0,5.0,Manual,1.0,,1097.0,front,Gasoline,4.2,,,,5.0,2.0,1.0,9.0,
Sedans,14990,VAT deductible,Audi,A1,1.4,11720.0,2.83013698630137,66.0,Used,White,Cloth,5.0,5.0,Manual,1.4,3.0,,front,Diesel,3.7,3.7,3.7,97.0,11.0,3.0,,,5.0
Sedans,14990,VAT deductible,Audi,A1,1.4,14942.0,2.5013698630136987,66.0,Used,White,Cloth,5.0,5.0,Manual,1.4,3.0,,front,Diesel,,,,,9.0,3.0,,,5.0
Sedans,14990,,Audi,A1,1.0,14200.0,2.0,70.0,Used,Black,,4.0,5.0,Manual,1.0,,1097.0,front,Gasoline,4.2,,,,5.0,2.0,1.0,9.0,
Sedans,14990,VAT deductible,Audi,A1,1.4,32700.0,2.6684931506849314,66.0,Used,Blue,Cloth,5.0,4.0,Manual,1.4,,,,Diesel,4.1,4.1,4.1,109.0,16.0,6.0,1.0,14.0,5.0
Sedans,14990,,Audi,A1,1.0,41989.0,2.419178082191781,70.0,Used,Grey,Cloth,3.0,4.0,Manual,1.0,3.0,1110.0,front,Gasoline,4.2,4.2,4.2,97.0,15.0,8.0,3.0,16.0,5.0
Sedans,14990,,Audi,A1,1.6,43341.0,2.7534246575342465,85.0,Used,Black,,5.0,5.0,Manual,1.6,4.0,1250.0,,Diesel,3.7,3.7,3.7,97.0,6.0,1.0,1.0,13.0,5.0
Compact,14980,VAT deductible,Audi,A1,1.0,13938.0,2.5863013698630137,60.0,Used,Silver,Cloth,3.0,,Manual,0.9,,,front,Gasoline,4.2,4.2,4.2,98.0,14.0,6.0,3.0,11.0,
Sedans,14980,VAT deductible,Audi,A1,1.0,6302.0,2.334246575342466,60.0,Used,Red,Cloth,3.0,4.0,Manual,1.0,,,,Gasoline,,,,,14.0,6.0,4.0,13.0,
Sedans,14970,,Audi,A1,1.0,15900.0,2.5863013698630137,60.0,Used,Silver,,5.0,4.0,Manual,1.0,3.0,1110.0,,Gasoline,4.2,4.2,4.2,97.0,15.0,6.0,4.0,14.0,5.0
Sedans,14960,VAT deductible,Audi,A1,1.0,11000.0,1.915068493150685,60.0,Used,Grey,Cloth,5.0,5.0,Manual,1.0,,,front,Gasoline,4.2,4.2,4.2,97.0,15.0,4.0,3.0,11.0,5.0
Compact,14980,VAT deductible,Audi,A1,1.0,10000.0,1.4191780821917808,60.0,Used,Black,Cloth,5.0,4.0,Manual,1.0,3.0,1135.0,front,Gasoline,4.4,4.4,4.4,104.0,3.0,2.0,,7.0,5.0
Sedans,15980,VAT deductible,Audi,A1,1.0,,,70.0,New,Black,Cloth,4.0,5.0,Manual,1.2,,,,Gasoline,4.2,4.2,4.2,97.0,5.0,3.0,,12.0,
Compact,15970,VAT deductible,Audi,A1,1.4,16692.0,1.4191780821917808,66.0,Employee's car,Black,Cloth,5.0,4.0,Manual,1.4,,1345.0,,Diesel,4.1,4.1,4.1,109.0,17.0,5.0,3.0,14.0,
Sedans,15990,VAT deductible,Audi,A1,1.6,28956.0,2.5863013698630137,87.0,Used,,,5.0,,Manual,1.6,,,,Diesel,,,,,6.0,1.0,1.0,9.0,
Sedans,15990,,Audi,A1,,20761.0,2.5863013698630137,70.0,Used,Black,Cloth,,4.0,Manual,,,,,Gasoline,,,,,12.0,4.0,1.0,6.0,5.0
Sedans,15990,VAT deductible,Audi,A1,1.0,17365.0,1.83013698630137,60.0,Used,Black,Cloth,2.0,4.0,Manual,1.0,,,,Gasoline,4.2,4.2,4.2,97.0,14.0,6.0,2.0,13.0,5.0
Sedans,15990,,Audi,A1,1.0,24265.0,2.5013698630136987,60.0,Used,Blue,Full leather,5.0,4.0,Manual,1.0,3.0,1135.0,front,Gasoline,4.2,4.2,4.2,97.0,13.0,6.0,1.0,12.0,5.0
Compact,15990,VAT deductible,Audi,A1,1.0,5400.0,2.334246575342466,60.0,Used,,Cloth,5.0,4.0,Manual,1.0,3.0,1135.0,front,Gasoline,4.4,4.4,4.4,104.0,7.0,2.0,2.0,12.0,5.0
Sedans,15990,VAT deductible,Audi,A1,1.0,44880.0,2.7534246575342465,70.0,Used,Black,Cloth,5.0,4.0,Manual,1.0,3.0,1134.0,front,Gasoline,4.3,4.3,4.3,98.0,11.0,6.0,5.0,14.0,5.0
Compact,15990,VAT deductible,Audi,A1,1.4,20010.0,2.915068493150685,66.0,Used,Blue,Cloth,5.0,5.0,Manual,1.4,3.0,,front,Diesel,3.7,3.7,3.7,97.0,14.0,3.0,1.0,13.0,5.0
Compact,15990,VAT deductible,Audi,A1,1.4,39600.0,2.419178082191781,66.0,Used,Blue,Cloth,5.0,4.0,Manual,1.4,3.0,1195.0,front,Diesel,3.9,3.9,3.9,10.0,16.0,5.0,2.0,14.0,5.0
Compact,15949,,Audi,A1,1.0,24850.0,2.7534246575342465,60.0,Used,Blue,Cloth,5.0,5.0,Manual,1.0,3.0,,front,Gasoline,4.4,4.4,4.4,104.0,14.0,5.0,4.0,14.0,5.0
Sedans,15990,,Audi,A1,1.0,18258.0,2.5013698630136987,70.0,Used,Beige,Cloth,5.0,4.0,Manual,1.0,,,front,Gasoline,4.2,4.2,4.2,97.0,12.0,1.0,3.0,11.0,5.0
Sedans,15990,VAT deductible,Audi,A1,1.0,1382.0,0.915068493150685,70.0,Employee's car,Black,Cloth,2.0,,Manual,1.0,3.0,,front,Gasoline,4.2,4.2,4.2,115.0,15.0,6.0,4.0,13.0,5.0
Sedans,15960,Price negotiable,Audi,A1,1.4,14900.0,2.83013698630137,66.0,Used,Beige,,5.0,4.0,Manual,1.4,3.0,1205.0,,Diesel,3.9,3.9,3.9,10.0,14.0,8.0,5.0,14.0,5.0
Sedans,15970,VAT deductible,Audi,A1,,28000.0,2.7534246575342465,85.0,Used,Black,,5.0,4.0,Manual,1.6,4.0,1250.0,front,Diesel,3.8,3.8,3.8,99.0,6.0,3.0,1.0,9.0,5.0
Compact,15960,VAT deductible,Audi,A1,1.0,12200.0,2.5863013698630137,60.0,Used,Silver,Cloth,5.0,4.0,Manual,1.0,3.0,1135.0,front,Gasoline,4.4,4.4,4.4,10.0,14.0,8.0,5.0,15.0,5.0
Compact,15960,VAT deductible,Audi,A1,1.0,4339.0,2.0,60.0,Used,White,Cloth,5.0,4.0,Manual,1.0,3.0,,front,Gasoline,4.4,4.4,4.4,10.0,13.0,7.0,4.0,13.0,5.0
Sedans,15960,VAT deductible,Audi,A1,1.0,8900.0,1.5013698630136987,70.0,Employee's car,White,Cloth,5.0,5.0,Manual,1.0,3.0,,front,Gasoline,4.2,4.2,4.2,97.0,14.0,7.0,4.0,13.0,
Compact,15960,VAT deductible,Audi,A1,1.0,21216.0,2.5013698630136987,70.0,Used,White,Cloth,5.0,4.0,Manual,1.0,3.0,,front,Gasoline,4.4,4.4,4.4,10.0,14.0,6.0,4.0,15.0,5.0
Sedans,15950,VAT deductible,Audi,A1,1.4,12571.0,2.334246575342466,66.0,Used,Blue,Cloth,5.0,5.0,Manual,1.4,,,,Diesel,3.9,3.9,3.9,10.0,14.0,6.0,2.0,12.0,
Sedans,15950,VAT deductible,Audi,A1,1.4,15981.0,1.915068493150685,66.0,Used,Blue,Cloth,5.0,5.0,Manual,1.4,3.0,,front,Diesel,3.9,3.9,3.9,10.0,17.0,5.0,4.0,15.0,
Sedans,15950,VAT deductible,Audi,A1,1.0,19000.0,1.5863013698630137,70.0,Used,Grey,Cloth,5.0,4.0,Manual,1.0,,1110.0,front,Gasoline,4.2,4.2,4.2,97.0,12.0,1.0,3.0,12.0,5.0
Sedans,15950,VAT deductible,Audi,A1,1.0,21800.0,1.5863013698630137,70.0,Used,Grey,Cloth,5.0,4.0,Manual,1.0,,1110.0,front,Gasoline,4.2,4.2,4.2,97.0,12.0,1.0,3.0,12.0,5.0
Sedans,15950,VAT deductible,Audi,A1,1.0,20600.0,1.5863013698630137,70.0,Used,Grey,Cloth,5.0,4.0,Manual,1.0,,1110.0,front,Gasoline,4.2,4.2,4.2,97.0,12.0,1.0,3.0,12.0,5.0
Sedans,15950,VAT deductible,Audi,A1,1.0,20700.0,1.5863013698630137,70.0,Used,White,Cloth,5.0,4.0,Manual,1.0,,1110.0,front,Gasoline,4.2,4.2,4.2,97.0,12.0,1.0,3.0,12.0,5.0
Sedans,15950,VAT deductible,Audi,A1,1.0,14800.0,1.5863013698630137,70.0,Used,Grey,Cloth,5.0,4.0,Manual,1.0,,1110.0,front,Gasoline,4.2,4.2,4.2,97.0,12.0,1.0,3.0,12.0,5.0
Sedans,15950,VAT deductible,Audi,A1,1.0,42908.0,2.7534246575342465,70.0,Used,Silver,Cloth,5.0,5.0,Manual,1.0,,,,Gasoline,,,,,4.0,3.0,1.0,11.0,
Compact,15950,VAT deductible,Audi,A1,1.0,8265.0,1.6684931506849314,60.0,Used,Red,Cloth,2.0,4.0,Manual,1.0,,,front,Gasoline,4.2,4.2,4.2,97.0,14.0,7.0,3.0,13.0,
Sedans,15990,,Audi,A1,1.0,18000.0,2.5863013698630137,70.0,Used,Blue,Cloth,5.0,4.0,Manual,1.0,3.0,1060.0,front,Gasoline,4.2,4.2,4.2,97.0,15.0,8.0,3.0,13.0,5.0
Sedans,15950,VAT deductible,Audi,A1,1.0,17355.0,2.5863013698630137,60.0,Used,Blue,Cloth,4.0,5.0,Manual,1.0,3.0,1135.0,front,Gasoline,4.4,4.4,4.4,10.0,14.0,6.0,3.0,13.0,5.0
Compact,15950,Price negotiable,Audi,A1,1.0,29163.0,2.7534246575342465,70.0,Used,White,Cloth,3.0,4.0,Manual,1.0,3.0,1010.0,,Gasoline,4.2,4.2,4.2,97.0,8.0,2.0,1.0,11.0,5.0
Sedans,15950,,Audi,A1,1.4,45000.0,2.0821917808219177,66.0,Used,White,Full leather,5.0,5.0,Manual,1.4,3.0,1195.0,front,Diesel,3.7,3.7,3.7,97.0,17.0,5.0,4.0,13.0,5.0
Compact,15990,,Audi,A1,1.0,50589.0,2.5013698630136987,70.0,Used,Red,Cloth,5.0,4.0,Manual,1.0,3.0,1625.0,front,Gasoline,,,,,12.0,6.0,4.0,17.0,5.0
Sedans,15950,,Audi,A1,1.4,45000.0,2.0821917808219177,66.0,Used,White,,5.0,5.0,Manual,1.4,3.0,1195.0,,Diesel,3.7,,3.7,97.0,8.0,5.0,2.0,9.0,5.0
Sedans,15985,VAT deductible,Audi,A1,1.0,4800.0,1.7534246575342465,60.0,Employee's car,White,Cloth,5.0,5.0,Manual,1.0,3.0,,front,Gasoline,4.2,4.2,4.2,97.0,14.0,7.0,3.0,12.0,
Sedans,15985,VAT deductible,Audi,A1,1.0,8000.0,1.5013698630136987,60.0,Employee's car,Grey,Cloth,5.0,5.0,Manual,1.0,3.0,,front,Gasoline,4.2,4.2,4.2,97.0,14.0,7.0,3.0,13.0,
Sedans,15983,VAT deductible,Audi,A1,1.0,7966.0,1.4191780821917808,60.0,Employee's car,Red,Cloth,4.0,5.0,Manual,1.0,3.0,,front,Gasoline,4.2,4.2,4.2,97.0,15.0,7.0,4.0,13.0,
Sedans,15980,VAT deductible,Audi,A1,1.0,21443.0,2.6684931506849314,70.0,Used,Blue,Cloth,3.0,4.0,Manual,1.0,3.0,,front,Gasoline,4.2,4.2,4.2,97.0,13.0,6.0,4.0,13.0,5.0
Sedans,15980,VAT deductible,Audi,A1,1.0,5375.0,1.5863013698630137,60.0,Used,Red,Cloth,5.0,5.0,Manual,1.0,3.0,,front,Gasoline,4.2,4.2,4.2,97.0,14.0,4.0,2.0,10.0,5.0
