body_type,price,vat,make1,model1,short_description1_displ,km1,age1,hp1,Type1,Body_Color1,Upholstery1,Nr_of_Doors1,Nr_of_Seats1,Gearing_Type1,Displacement1,Cylinders1,Weight1,Drive_chain1,Fuel1,Consump_comb1,Consump_city1,Consump_country1,CO2_Emission1,Comfort_point1,Entertainment_point1,Extras_point1,Safety_point1,Gears1
Sedans,8999,,Audi,A1,1.0,115000.0,3.5863013698630137,70.0,Used,White,,5.0,4.0,Manual,1.0,3.0,1135.0,,Gasoline,4.2,4.2,4.2,97.0,5.0,2.0,2.0,14.0,5.0
Compact,11444,VAT deductible,Audi,A1,1.0,84029.0,3.7534246575342465,70.0,Used,Blue,Cloth,2.0,4.0,Manual,1.0,,,front,Gasoline,4.2,4.2,4.2,97.0,15.0,7.0,2.0,13.0,
Sedans,11300,,Audi,A1,1.0,67800.0,3.5013698630136987,70.0,Used,Black,Cloth,5.0,5.0,Manual,1.0,3.0,1135.0,,Gasoline,4.2,4.2,4.2,97.0,5.0,1.0,1.0,14.0,5.0
Sedans,18900,VAT deductible,Audi,A1,1.4,14556.0,1.6684931506849314,66.0,Used,White,,5.0,,Automatic,1.4,3.0,,front,Diesel,4.3,4.3,4.3,99.0,2.0,,1.0,5.0,7.0
Compact,11290,,Audi,A1,,22000.0,3.7534246575342465,70.0,Used,Black,Cloth,4.0,4.0,Manual,1.0,,,,Gasoline,4.4,4.4,4.4,10.0,5.0,,1.0,11.0,
Compact,11290,,Audi,A1,1.4,38400.0,3.5013698630136987,66.0,Used,Black,,5.0,5.0,Manual,1.4,3.0,1195.0,front,Diesel,3.0,3.0,3.0,,,,,,5.0
Sedans,11440,VAT deductible,Audi,A1,1.4,83307.0,3.5863013698630137,66.0,Used,Black,Cloth,3.0,4.0,Manual,1.4,3.0,1195.0,front,Diesel,3.6,3.6,3.6,95.0,9.0,6.0,2.0,13.0,5.0
Compact,11445,VAT deductible,Audi,A1,1.0,39668.0,3.7534246575342465,70.0,Used,Brown,Cloth,3.0,4.0,Manual,1.0,3.0,,front,Gasoline,4.4,4.4,4.4,104.0,5.0,3.0,2.0,12.0,5.0
Sedans,11700,VAT deductible,Audi,A1,1.4,30353.0,3.334246575342466,66.0,Used,Black,Cloth,5.0,5.0,Manual,1.4,3.0,1195.0,front,Diesel,3.7,3.7,3.7,97.0,7.0,2.0,1.0,14.0,5.0
Sedans,11900,,Audi,A1,1.4,126000.0,3.5013698630136987,66.0,Used,White,,5.0,4.0,Manual,1.4,3.0,1205.0,,Diesel,3.7,3.7,3.7,97.0,12.0,7.0,1.0,13.0,5.0
