price,Nr_of_Doors3,Comfort_point3,Nr_of_Seats3,Safety_point3,Entertainment_point3,age3,Extras_point3,Gears3,Cylinders3,Consump_country3,Consump_city3,Consump_comb3,CO2_Emission3,Weight3,hp3,km3,make3_Audi,make3_Opel,make3_Renault,model3_A1,model3_A2,model3_A3,model3_Astra,model3_Clio,model3_Corsa,model3_Duster,model3_Espace,model3_Insignia,Gearing_Type3_Automatic,Gearing_Type3_Manual,Gearing_Type3_Semi-automatic,Fuel3_Diesel,Fuel3_Electric,Fuel3_Gasoline,Fuel3_LPG/CNG,Type3_Demonstration,Type3_Employee's car,Type3_New,Type3_Pre-registered,Type3_Used,body_type3_Compact,body_type3_Convertible,body_type3_Coupe,body_type3_Off-Road,body_type3_Other,body_type3_Sedans,body_type3_Station wagon,body_type3_Transporter,body_type3_Van,Body_Color3_Beige,Body_Color3_Black,Body_Color3_Blue,Body_Color3_Bronze,Body_Color3_Brown,Body_Color3_Gold,Body_Color3_Green,Body_Color3_Grey,Body_Color3_Orange,Body_Color3_Red,Body_Color3_Silver,Body_Color3_Violet,Body_Color3_White,Body_Color3_Yellow,Upholstery3_Cloth,Upholstery3_Full leather,Upholstery3_Part leather,vat3_Price negotiable,vat3_VAT deductible,Drive_chain3_4WD,Drive_chain3_front,Drive_chain3_rear
18399,3.0,11.0,4.0,13.0,3.0,3.5013698630136987,3.0,6.0,3.0,4.4,4.4,4.4,86.0,1229.0,112.0,45764.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
17990,5.0,16.0,4.0,14.0,5.0,3.1671232876712327,3.0,7.0,3.0,4.2,4.2,4.2,99.0,1135.0,70.0,34914.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
18700,5.0,11.0,4.0,12.0,7.0,3.668493150684931,1.0,7.0,4.0,3.7,3.7,3.7,97.0,1275.0,85.0,27000.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0
18900,5.0,3.0,4.0,8.0,3.0,1.501369863013699,3.0,5.0,4.0,3.5,3.5,3.5,117.0,1175.0,85.0,9752.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
18500,5.0,12.0,5.0,12.0,6.0,2.0821917808219177,2.0,7.0,3.0,3.8,3.8,3.8,99.0,1220.0,66.0,28408.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
18400,5.0,10.0,5.0,12.0,5.0,3.4191780821917814,1.0,7.0,3.0,4.5,4.5,4.5,103.0,1065.0,70.0,50280.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
18500,5.0,11.0,5.0,12.0,6.0,1.5863013698630135,4.0,7.0,4.0,3.8,3.8,3.8,99.0,1229.0,85.0,13406.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
18500,5.0,15.0,5.0,20.0,8.0,2.5013698630136987,4.0,7.0,4.0,4.0,4.0,4.0,105.0,1275.0,85.0,51160.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0
18500,5.0,18.0,5.0,16.0,7.0,3.7534246575342474,3.0,7.0,4.0,4.9,4.9,4.9,117.0,1180.0,92.0,15850.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
18900,3.0,15.0,4.0,16.0,8.0,3.0,5.0,7.0,4.0,4.9,4.9,4.9,117.0,1190.0,92.0,17000.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0
18850,5.0,3.0,4.0,9.0,1.0,1.5863013698630135,1.0,7.0,4.0,3.7,3.7,3.7,97.0,1630.0,85.0,9077.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0
18500,5.0,14.0,4.0,17.0,8.0,1.2493150684931509,2.0,7.0,3.0,4.4,4.4,4.4,117.0,1165.0,70.0,3000.0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
8999,5.0,5.0,4.0,14.0,2.0,3.5863013698630137,2.0,5.0,3.0,4.2,4.2,4.2,97.0,1135.0,70.0,115000.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,1,0
11444,2.0,15.0,4.0,13.0,7.0,3.7534246575342474,2.0,6.0,3.0,4.2,4.2,4.2,97.0,1229.0,70.0,84029.0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
